okved,cluster
IQCF5,Singleton
OR4A47,Singleton
FOXD4L6,Singleton
GPHB5,Singleton
TEX52,Singleton
ELOA2,Singleton
MUC22,Singleton
SLC2A7,Singleton
GAGE2E,Singleton
FAM47B,Singleton
SPINT4,Singleton
CPXCR1,Singleton
ZNF479,Singleton
OR1S2,Singleton
OR4D1,Singleton
AQP12B,Singleton
RHOXF2,Singleton
DPRX,Singleton
SPATA31C1,Singleton
TBC1D3D,Singleton
MAJIN,Singleton
KLRF2,Singleton
CCDC185,Singleton
OR10G3,Singleton
KRTAP5-4,Singleton
OR51B6,Singleton
OR51T1,Singleton
PRR23A,Singleton
MAGEB6,Singleton
SSX4B,Singleton
MS4A13,Singleton
MAGEB10,Singleton
OR14J1,Singleton
NBPF26,Singleton
GLYATL3,Singleton
TAAR8,Singleton
SSMEM1,Singleton
DEFB123,Singleton
GAGE12C,Singleton
OR7G2,Singleton
HSFX1,Singleton
OR1B1,Singleton
TGIF2LX,Singleton
PPIAL4C,Singleton
LEXM,Singleton
MRGPRG,Singleton
IQCF2,Singleton
KRTAP9-4,Singleton
TAS2R41,Singleton
LEUTX,Singleton
SPANXA2,Singleton
OR2Y1,Singleton
GAGE2A,Singleton
TMEM210,Singleton
GSTT4,Singleton
BAGE5,Singleton
PATE1,Singleton
RD3L,Singleton
FAM47A,Singleton
KRTAP7-1,Singleton
OR52B6,Singleton
PRR23C,Singleton
PRAMEF2,Singleton
MRGPRX4,Singleton
OR4N4,Singleton
OR2AG1,Singleton
PAGE2,Singleton
OR2D3,Singleton
RNASE8,Singleton
PRAC2,Singleton
BAGE3,Singleton
GJE1,Singleton
OR5P2,Singleton
TMEM249,Singleton
PRR23B,Singleton
OR51I1,Singleton
OR2AT4,Singleton
ZNF705G,Singleton
TBC1D3K,Singleton
ADGRG4,Singleton
SPATA31A5,Singleton
SPANXN4,Singleton
OR2AK2,Singleton
CSAG2,Singleton
BSPH1,Singleton
GAGE8,Singleton
OR2B11,Singleton
OR1Q1,Singleton
OR13D1,Singleton
SPATA31A3,Singleton
DEFB105A,Singleton
SPATA31D3,Singleton
DEFB121,Singleton
TAS2R40,Singleton
ZNF727,Singleton
LCN9,Singleton
OR10J5,Singleton
LIMS4,Singleton
PYDC2,Singleton
OR1K1,Singleton
KRTAP12-4,Singleton
